Suburb,Street
"Laguna, Wollombi",Great North Road
"Lake Hume Village, Thurgoona",Riverina Highway
Lake Illawarra,Reddall Parade
"Lake Innes, Sancrox",Burrawan Forest Drive
"Lake Innes, Sancrox, Thrumster",Pacific Highway
Lambton,Howe Street
"Lambton, New Lambton","Durham Road, Howe Street, Karoola Road, Lambton Road, Lloyd Road"
"Lane Cove, Longueville, Riverview","Bridge Street, Northwood Road, Penrose Street, River Road"
"Larbert, Warri",Kings Highway
Lavington,Hague Street
Lavington,Wagga Road
"Lavington, Springdale Heights",Kaitlers Road
"Lavington, Thurgoona",Thurgoona Drive
Leeton,"Irrigation Way, Kurrajong Avenue, Pine Avenue, Wamoon Avenue, Yanco Avenue"
"Lemon Tree Passage, Mallabula, Tanilba Bay",Lemon Tree Passage Road
"Lennox Head, Tintenbar",Ross Lane
"Lethbridge Park, Ropes Crossing, Shalvey, Willmot",Palmyra Avenue
"Leura, Wentworth Falls",Great Western Highway
Lidcombe,"Boorea Street, Olympic Drive"
Lidcombe,John Street
"Lidster, Nashdale",Cargo Road
"Lightning Ridge, Walgett",Castlereagh Highway
"Lilli Pilli, Malua Bay, Surf Beach",George Bass Drive
"Lilyfield, Rozelle","Balmain Road, Darling Street, Perry Street"
"Lilyvale, Otford, Stanwell Tops","Lady Wakehurst Drive, Otford Road"
Lindfield,Grosvenor Road
"Lisarow, Narara, Niagara Park, North Gosford, Wyoming","Mann Street, Pacific Highway"
Little Billabong,Hume Highway
Little Billabong,Hume Highway
Liverpool,"Copeland Street, Hume Highway"
"Lochinvar, Rutherford, Windella",New England Highway
"Loftus, Royal National Park","Audley Road, Farnell Avenue"
"Loftville, South Gunurimba, South Lismore","Bruxner Highway, Union Street"
Long Jetty,The Entrance Road
"Long Jetty, The Entrance","Oakland Avenue, The Entrance Road, Wilfred Barrett Drive"
"Lovedale, Rothbury",Wine Country Drive
Lucas Heights,Heathcote Road
Lucas Heights,Heathcote Road
"Lucknow, Orange","Bathurst Road, Mitchell Highway, Molong Road, Summer Street, Woodward Street"
"Luddenham, Wallacia",Park Road
"Lyndhurst, Mandurama, Woodstock","Mid Western Highway, Olive Street"
"Macksville, Nambucca Heads, North Macksville","Cooper Street, Giinagay Way"
"Magenta, Norah Head, Noraville",Wilfred Barrett Drive
"Magenta, The Entrance North",Wilfred Barrett Drive
"Maitland, Rutherford",New England Highway
"Maitland, Telarah",New England Highway
"Maldon, Picton, Razorback, Wilton",Picton Road
"Mallanganee, Mummulgum, Sandilands",Bruxner Highway
"Manly, North Manly",Pittwater Road
"Marayong, Quakers Hill",Railway Road
Mardi,Woodbury Park Drive
"Maroota, South Maroota","Sackville Ferry Road, Wisemans Ferry Road"
"Maroota, Wisemans Ferry",Old Northern Road
Maroubra,Maroubra Road
Marsden Park,Richmond Road
"Maryvale, Montefiores, Wellington","Lee Street, Mitchell Highway, Nanima Crescent, Percy Street"
"Maryville, Tighes Hill, Wickham",Hannell Street
"Mascot, Rosebery",Coward Street
"Mayfield, Mayfield East, Mayfield North, Tighes Hill",Industrial Drive
"Mayfield, Waratah","Hanbury Street, Platt Street, Railway Terrace, Station Street, Turton Road, Vine Street"
"McGraths Hill, Vineyard",Windsor Road
"Meadow Flat, Mount Lambie",Great Western Highway
Medowie,Ferodale Road
"Merewether, Merewether Heights",City Road
"Merewether, Merewether Heights",Scenic Drive
"Merewether, The Junction",Glebe Road
"Merimbula, Pambula","Arthur Kaine Drive, Market Street, Toallo Street"
Merrylands,"Douglas Street, Hilltop Road"
"Micalo Island, Yamba","Yamba Road, Wooli Street"
"Millthorpe, Shadforth, Spring Hill, Spring Terrace","Forest Road, Worboys Street, Seaton Street, Spring Street, Whiley Road, Millthorpe Road"
Milperra,Henry Lawson Drive
Milton,Princes Highway
Milton,Princes Highway
"Mindaribba, Paterson, Tocal",Tocal Road
Miranda,Port Hacking Road
Miranda,President Avenue
"Modanville, North Lismore, Tullera","Dunoon Road, Tweed Street"
"Mollymook, Ulladulla",Princes Highway
Molong,"Hill Street, Market Street, Mitchell Highway, Watson Street"
Molong,Mitchell Highway
"Mona Vale, Newport",Barrenjoey Road
"Mona Vale, North Narrabeen, Warriewood",Pittwater Road
"Monterey, Ramsgate Beach",The Grand Parade
Moorebank,Moorebank Avenue
Moree,"Alice Street, Bingara Road, Cross Street, Gwydir Highway"
Moree,"Balo Street, Boggabilla Road, Greenbah Road, Gwydir Highway, Heber Street"
Moree,"Balo Street, Frome Street"
Moree,Edward Street
Moree,Newell Highway
"Morisset, Wyee",Wyee Road
"Mororo, Woombah",Pacific Highway
"Mortons Creek, Pembrooke, Redbank, Telegraph Point",Pembrooke Road
"Moss Vale, New Berrima","Berrima Road, Taylor Avenue, Waite Street"
Mount Druitt,Carlisle Avenue
"Mount Hutton, Warners Bay",Bayview Street
"Mount Keira, West Wollongong","Mount Keira Road,"
"Mount Vincent, Mulbring",Leggetts Drive
Mount Warrigal,Reddall Parade
Mulgoa,Mulgoa Road
"Mullengandra, Woomargama","Hume Highway, Woomargama Way"
Mullumbimby,Coolamon Scenic Drive
"Mullumbimby, Myocum","Argyle Street, Burringbar Street, Mullumbimby Road"
"Mummulgum, Piora",Bruxner Highway
"Mundarlo, Tumblong",Hume Highway
"Murrumburrah, Nubba, Wallendbeen","Burley Griffin Way, Victoria Street"
"Murwillumbah, Tygalgah",Tumbulgum Road
Muswellbrook,"Bridge Street, Maitland Street, New England Highway, Sydney Street"
Muswellbrook,New England Highway
"Narara, Niagara Park",Narara Valley Drive
"Narara, West Gosford, Wyoming",Manns Road
"Naremburn, Willoughby",Willoughby Road
"Narrabri, Tarriaro","Maitland Street, Old Gunnedah Road"
"Narrabri, Wee Waa","Kamilaroi Highway, Maitland Street, Mitchell Street, Rose Street, Wee Waa Road"
Narrandera,"Audley Street, Irrigation Way"
Narromine,"Burraway Street, Dandaloo Street, Mitchell Highway, Trangie Road"
Narromine,Mitchell Highway
Nelligen,Kings Highway
Nelson Bay,"Nelson Bay Road, Stockton Street"
"Nelson Bay, Shoal Bay",Shoal Bay Road
"Nemingha, Piallamore",Nundle Road
"Nerong, Tea Gardens",Pacific Highway
New Italy,Pacific Highway
New Lambton,Lambton Road
New Lambton,Russell Road
"New Lambton, New Lambton Heights",Lookout Road
"Nimmitabel, Rock Flat, Steeple Flat","Bombala Street, Monaro Highway"
Noraville,Budgewoi Road
North Albury,Mate Street
"North Macksville, Wirrimbi","Rodeo Drive, Ferry Street"
North Nowra,McMahons Road
North Parramatta,Church Street
"North Parramatta, Parramatta",O'Connell Street
"North Ryde, Ryde","Goulding Road, Twin Road, Wicks Road"
"North Tamworth, Taminda","Dampier Street, Jewry Street"
"North Wahroonga, Wahroonga",Grosvenor Street
"North Yalgogrin, Weethalle, West Wyalong",Mid Western Highway
"Northmead, Winston Hills",Windsor Road
Nowra,Berry Street
Nowra,Junction Street
Nowra,Worrigee Street
"Nowra Hill, South Nowra",Princes Highway
"Nowra, Nowra Hill, South Nowra, West Nowra","Albatross Road, Kalandar Street"
"Nowra, South Nowra",Kinghorne Street
"Nowra, Worrigee","Greenwell Point Road, Kalandar Street"
"Nubba, Wallendbeen, Wombat, Young","Olympic Highway, Young Street"
"Nulkaba, Pokolbin, Rothbury",Wine Country Drive
Nymboida,Armidale Road
Oak Flats,Central Avenue
"Oakhurst, Plumpton",Rooty Hill Road North
"Oberon, O'Connell",O'Connell Road
"Old Erowal Bay, Sanctuary Point, Worrowing Heights","Larmer Avenue, Paradise Beach Road, The Wool Road"
"Old Grevillia, Roseberry, Rukenvale, The Risk, West Wiangaree",Summerland Way
Old Junee,Goldfields Way
Orange,Kite Street
Orange,"Leeds Parade, William Street"
Orange,March Steet
Orange,Spring Street
Orange,Warrendine Street
Orange,Woodward Street
"Orange, Spring Creek","Forest Road, Peisley Street"
"Orangeville, Werombi",Silverdale Road
"Orchard Hills, St Clair",Mamre Road
"Orchard Hills, St Clair, St Marys",Mamre Road
"Paddys River, Wingello",Hume Highway
"Padstow Heights, Revesby Heights",Henry Lawson Drive
"Padstow, Revesby","Alma Road, Faraday Road, Uranus Road"
"Pambula, Pambula Beach",Pambula Beach Road
Parkes,"Bogan Street, Clarinda Street, Forbes Street, Hartigan Avenue, Mitchell Street, Peak Hill Road, Newell Highway"
Parkes,"Condobolin Road, Dalton Street"
Parramatta,"Hassall Street, Parkes Street"
Peak Hill,Caswell Street
"Peakhurst, Punchbowl, Riverwood, Roselands",Bonds Road
"Peakhurst, Riverwood",Belmore Road
"Pembrooke, Telegraph Point",Telegraph Point Road
"Pendle Hill, Toongabbie, Wentworthville",Wentworth Avenue
Penrith,"Belmore Street, Henry Street, High Street, Jane Street, North Street"
Picnic Point,Henry Lawson Drive
"Picton, Razorback","Argyle Street, Remembrance Driveway"
"Picton, Thirlmere","Thirlmere Way, Oaks Street, Barbour Road, West Parade"
"Pimlico, Wardell","Blackwall Drive, Pacific Highway"
"Port Kembla, Warrawong",King Street
"Port Kembla, Warrawong",Shellharbour Road
Port Macquarie,Lake Road
Port Macquarie,Lake Road
Port Macquarie,Lord Street
Port Macquarie,Pacific Drive
Port Macquarie,Park Street
Punchbowl,Wattle Street
"Punchbowl, Wiley Park",Punchbowl Road
"Pymble, St Ives",Mona Vale Road
"Pyree, Wollumboola","Culburra Road, Pyree Lane"
Queanbeyan,Morisset Street
Queanbeyan,Stornaway Road
Queanbeyan East,High Street
Queanbeyan East,Yass Road
"Quipolly, Quirindi, Werris Creek","Werris Creek Road, Hawker Street"
"Raleigh, Urunga",Giinagay Way
Ravensworth,New England Highway
Raymond Terrace,Adelaide Street
Regents Park,Amy Street
Rhodes,"Rider Boulevard, Walker Street"
Robertson,"Hoddle Street, Illawarra Highway"
Robertson,Illawarra Highway
Rock Flat,Monaro Highway
"Rocky River, Uralla, Yarrowyck","Thunderbolts Way, Hill Street"
"Rose Bay, Vaucluse",New South Head Road
Roseville,Boundary Street
Royal National Park,Sir Bertram Stevens Drive
Royal National Park,Sir Bertram Stevens Drive
"Royal National Park, Waterfall",McKell Avenue
"Salisbury Plains, Uralla, Walcha","Derby Street, Duke Street, Salisbury Street, Thunderbolts Way, Uralla Road"
"Salt Ash, Williamtown",Nelson Bay Road
San Remo,Goorama Avenue
"Sandgate, Shortland","Sandgate Road, Wallsend Road"
Sandigo,Sturt Highway
Sandy Hill,Bruxner Highway
"Sandy Hill, Tenterfield",Bruxner Highway
Sans Souci,"Sandringham Street, The Grand Parade"
Scone,"Bunnan Road, Liverpool Street, Satur Road"
"Scotts Head, Way Way",Scotts Head Road
Seven Hills,Prospect Highway
"Seven Hills, Toongabbie","Fitzwilliam Road, Station Road"
"Silverdale, Wallacia",Silverdale Road
"Silverdale, Wallacia",Silverdale Road
South Granville,Clyde Street
"South Gundagai, Tumblong",Hume Highway
"South Lismore, Tuncester","Casino Street, Kyogle Road, Union Street"
South Nowra,Flinders Road
South Nowra,Hillcrest Avenue
"South Tamworth, Tamworth, West Tamworth","Murray Street, Scott Road"
"South Tamworth, West Tamworth","Ebsworth Street, Goonoo Goonoo Road"
"South Turramurra, Thornleigh, Turramurra, Wahroonga, West Pymble","Doncaster Avenue, The Comenarra Parkway, Yanko Road"
South West Rocks,Gregory Street
"Speers Point, Warners Bay",The Esplanade
Springfield,Wells Street
Springwood,Hawkesbury Road
St Ives,"Eastern Arterial Road, Horace Street, Link Road"
St Ives,Mona Vale Road
"St Ives, Turramurra","Burns Road, Killeaton Street, Link Road"
St Johns Park,Melbourne Road
Stanwell Park,Lawrence Hargrave Drive
Stockton,Fullerton Street
Strathfield,"Arthur Street, Beresford Road, Broughton Road"
Sutton Forest,Illawarra Highway
Sylvania,Port Hacking Road
Sylvania,Princes Highway
Tabbimoble,Pacific Highway
Table Top,"Hume Highway, Olympic Highway"
Tahmoor,Thirlmere Way
"Taminda, Westdale","Gunnedah Road, Oxley Highway"
"Taree, Wingham",Wingham Road
Tea Gardens,"Myall Street, Myall Way, Pacific Highway, Tea Gardens Road"
Tenterfield,Rouse Street
Terrey Hills,Mona Vale Road
Thurgoona,Corrys Road
Tomago,Tomago Road
Toronto,"Cary Street, Anzac Parade"
Toronto,"Excelsior Parade, Mount Waring Road, Wangi Road"
Toukley,Main Road
Towradgi,Towradgi Road
"Tuggerah, Watanobbi, Wyong",Pacific Highway
Tumbulgum,Tweed Valley Way
Tumut,"Blowering Road, Fitzroy Street, Snowy Mountains Highway"
"Tuncurry, Wallis Lake","Manning Street, The Lakes Way"
Turramurra,Kissing Point Road
Turvey Park,"Lord Baden Powell Drive, Urana Street"
Tweed Heads,Ducat Street
Tweed Heads,Kennedy Drive
Tweed Heads South,Dry Dock Road
Tweed Heads West,Kennedy Drive
"Tweed Heads, Tweed Heads South","Minjungbal Drive, Wharf Street"
Twelve Mile Creek,The Bucketts Way
Ulladulla,Green Street
Ulladulla,St Vincent Street
"Umina Beach, Woy Woy",Ocean Beach Road
Unanderra,Waples Road
Uralla,"Bridge Street, New England Highway"
Valla,Giinagay Way
Wagga Wagga,Docker Street
Wagga Wagga,Edward Street
Wagga Wagga,Kincaid Street
Wagga Wagga,Tarcutta Street
Wagga Wagga,Travers Street
Walcha,"Derby Street, Thunderbolts Way"
Wallsend,Longworth Avenue
Wallsend,Thomas Street
Wapengo,Tathra Bermagui Road
Warkworth,Golden Highway
Warners Bay,King Street
Warners Bay,Warners Bay Road
Waterfall,Princes Highway
Wauchope,Cameron Street
Wentworth Falls,Great Western Highway
Werris Creek,Single Street
West Kempsey,North Street
West Kempsey,Sea Street
"West Wyalong, Wyalong","Main Street, Neeld Street, Newell Highway, Reg Rattey Drive, Tallimba Road"
Wickham,Hannell Street
"Widgelli, Yoogali",Irrigation Way
Wilberforce,Wilberforce Road
Williamtown,Cabbage Tree Road
Willow Tree,New England Highway
Wollogorang,Federal Highway
"Wollogorang, Yarra",Federal Highway
Woodstock,Mid Western Highway
Wyee,Wyee Road
Yass,"Comur Street, Laidlaw Street, Yass Valley Way"
Yetholme,Great Western Highway
Yoogali,Mackay Avenue
Young,"Boorowa Street, Campbell Street, Olympic Highway"
